"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 27 16:25:48 GMT 2022","Tue Sep 27 16:25:51 GMT 2022","2530","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow resources",""
"passed","Tue Sep 27 16:24:53 GMT 2022","Tue Sep 27 16:25:03 GMT 2022","9756","chromium","FindPriceSmsApiUa.spec.js","","","","Check if the price for SMS API for Ukrain will change in Euro.",""
"passed","Tue Sep 27 16:25:56 GMT 2022","Tue Sep 27 16:25:59 GMT 2022","3314","chromium","VerifyTabsOnHomePage.spec.js","","","","should click on network tab and redirected to network page",""
"passed","Tue Sep 27 16:25:11 GMT 2022","Tue Sep 27 16:25:19 GMT 2022","8287","chromium","Login.spec.js","","","","should login with invalid password",""
"passed","Tue Sep 27 16:25:51 GMT 2022","Tue Sep 27 16:25:53 GMT 2022","2491","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow company",""
"passed","Tue Sep 27 16:25:46 GMT 2022","Tue Sep 27 16:25:48 GMT 2022","2566","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow solutions",""
"passed","Tue Sep 27 16:25:19 GMT 2022","Tue Sep 27 16:25:30 GMT 2022","10799","chromium","VerifyClickabilityBtns.spec.js","","","","Should verify clickability buttons on contact center page",""
"passed","Tue Sep 27 16:25:30 GMT 2022","Tue Sep 27 16:25:34 GMT 2022","4027","chromium","VerifyHomePageBtn.spec.js","","","","Should click about us button then home page button",""
"passed","Tue Sep 27 16:25:39 GMT 2022","Tue Sep 27 16:25:43 GMT 2022","4145","chromium","VerifySearchInput.spec.js","","","","Should verify saving calculator with messaging API",""
"passed","Tue Sep 27 16:25:03 GMT 2022","Tue Sep 27 16:25:11 GMT 2022","8042","chromium","Login.spec.js","","","","should login with invalid email",""
"passed","Tue Sep 27 16:25:43 GMT 2022","Tue Sep 27 16:25:46 GMT 2022","2620","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow pricing",""
"passed","Tue Sep 27 16:25:34 GMT 2022","Tue Sep 27 16:25:39 GMT 2022","4905","chromium","VerifySavingCalculator.spec.js","","","","Should verify saving calculator with messaging API",""
"passed","Tue Sep 27 16:24:46 GMT 2022","Tue Sep 27 16:24:53 GMT 2022","7202","chromium","FindPriceSmsApiUa.spec.js","","","","Should to show price for SMS API for Ukraine in usd",""
"passed","Tue Sep 27 16:25:53 GMT 2022","Tue Sep 27 16:25:56 GMT 2022","2535","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow products",""
