"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Sep 27 13:14:04 GMT 2022","Tue Sep 27 13:14:04 GMT 2022","14","chromium","VerifySavingCalculator.spec.js","","","","Should verify saving calculator with messaging API",""
"failed","Tue Sep 27 13:14:07 GMT 2022","Tue Sep 27 13:14:07 GMT 2022","13","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow pricing",""
"failed","Tue Sep 27 13:13:57 GMT 2022","Tue Sep 27 13:13:57 GMT 2022","13","chromium","FindPriceSmsApiUa.spec.js","","","","Check if the price for SMS API for Ukrain will change in Euro.",""
"failed","Tue Sep 27 13:14:01 GMT 2022","Tue Sep 27 13:14:01 GMT 2022","13","chromium","VerifyClickabilityBtns.spec.js","","","","Should verify clickability buttons on contact center page",""
"failed","Tue Sep 27 13:14:00 GMT 2022","Tue Sep 27 13:14:00 GMT 2022","14","chromium","Login.spec.js","","","","should login with invalid password",""
"failed","Tue Sep 27 13:14:15 GMT 2022","Tue Sep 27 13:14:15 GMT 2022","14","chromium","VerifyTabsOnHomePage.spec.js","","","","should click on network tab and redirected to network page",""
"failed","Tue Sep 27 13:13:55 GMT 2022","Tue Sep 27 13:13:55 GMT 2022","14","chromium","FindPriceSmsApiUa.spec.js","","","","Should to show price for SMS API for Ukraine in usd",""
"failed","Tue Sep 27 13:14:10 GMT 2022","Tue Sep 27 13:14:10 GMT 2022","13","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow resources",""
"failed","Tue Sep 27 13:14:13 GMT 2022","Tue Sep 27 13:14:13 GMT 2022","14","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow products",""
"failed","Tue Sep 27 13:14:06 GMT 2022","Tue Sep 27 13:14:06 GMT 2022","14","chromium","VerifySearchInput.spec.js","","","","Should verify saving calculator with messaging API",""
"failed","Tue Sep 27 13:14:12 GMT 2022","Tue Sep 27 13:14:12 GMT 2022","13","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow company",""
"failed","Tue Sep 27 13:13:58 GMT 2022","Tue Sep 27 13:13:58 GMT 2022","13","chromium","Login.spec.js","","","","should login with invalid email",""
"failed","Tue Sep 27 13:14:03 GMT 2022","Tue Sep 27 13:14:03 GMT 2022","14","chromium","VerifyHomePageBtn.spec.js","","","","Should click about us button then home page button",""
"failed","Tue Sep 27 13:14:09 GMT 2022","Tue Sep 27 13:14:09 GMT 2022","15","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow solutions",""
