"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 29 17:22:48 GMT 2022","Thu Sep 29 17:22:50 GMT 2022","2105","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow products",""
"passed","Thu Sep 29 17:21:27 GMT 2022","Thu Sep 29 17:21:33 GMT 2022","5994","chromium","Login.spec.js","","","","should login with invalid email",""
"passed","Thu Sep 29 17:22:13 GMT 2022","Thu Sep 29 17:22:16 GMT 2022","3923","chromium","VerifySavingCalculator.spec.js","","","","Should verify saving calculator with messaging API",""
"passed","Thu Sep 29 17:21:20 GMT 2022","Thu Sep 29 17:21:27 GMT 2022","7006","chromium","FindPriceSmsApiUa.spec.js","","","","Check if the price for SMS API for Ukrain will change in Euro.",""
"passed","Thu Sep 29 17:22:16 GMT 2022","Thu Sep 29 17:22:19 GMT 2022","2914","chromium","VerifySearchInput.spec.js","","","","Should verify saving calculator with messaging API",""
"passed","Thu Sep 29 17:22:44 GMT 2022","Thu Sep 29 17:22:46 GMT 2022","2221","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow resources",""
"passed","Thu Sep 29 17:22:19 GMT 2022","Thu Sep 29 17:22:42 GMT 2022","22191","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow pricing",""
"passed","Thu Sep 29 17:21:49 GMT 2022","Thu Sep 29 17:22:13 GMT 2022","23645","chromium","VerifyHomePageBtn.spec.js","","","","Should click about us button then home page button",""
"passed","Thu Sep 29 17:22:46 GMT 2022","Thu Sep 29 17:22:48 GMT 2022","2025","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow company",""
"passed","Thu Sep 29 17:21:40 GMT 2022","Thu Sep 29 17:21:49 GMT 2022","9305","chromium","VerifyClickabilityBtns.spec.js","","","","Should verify clickability buttons on contact center page",""
"passed","Thu Sep 29 17:21:33 GMT 2022","Thu Sep 29 17:21:40 GMT 2022","6920","chromium","Login.spec.js","","","","should login with invalid password",""
"passed","Thu Sep 29 17:22:50 GMT 2022","Thu Sep 29 17:22:52 GMT 2022","2432","chromium","VerifyTabsOnHomePage.spec.js","","","","should click on network tab and redirected to network page",""
"passed","Thu Sep 29 17:22:42 GMT 2022","Thu Sep 29 17:22:44 GMT 2022","2014","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow solutions",""
"passed","Thu Sep 29 17:21:10 GMT 2022","Thu Sep 29 17:21:20 GMT 2022","9713","chromium","FindPriceSmsApiUa.spec.js","","","","Should to show price for SMS API for Ukraine in usd",""
