"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 27 15:30:16 GMT 2022","Tue Sep 27 15:30:24 GMT 2022","8031","chromium","FindPriceSmsApiUa.spec.js","","","","Should to show price for SMS API for Ukraine in usd",""
"passed","Tue Sep 27 15:31:09 GMT 2022","Tue Sep 27 15:31:15 GMT 2022","5646","chromium","VerifySavingCalculator.spec.js","","","","Should verify saving calculator with messaging API",""
"passed","Tue Sep 27 15:31:26 GMT 2022","Tue Sep 27 15:31:30 GMT 2022","3092","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow resources",""
"passed","Tue Sep 27 15:30:36 GMT 2022","Tue Sep 27 15:30:44 GMT 2022","8345","chromium","Login.spec.js","","","","should login with invalid email",""
"passed","Tue Sep 27 15:30:53 GMT 2022","Tue Sep 27 15:31:04 GMT 2022","11834","chromium","VerifyClickabilityBtns.spec.js","","","","Should verify clickability buttons on contact center page",""
"passed","Tue Sep 27 15:31:38 GMT 2022","Tue Sep 27 15:31:42 GMT 2022","3865","chromium","VerifyTabsOnHomePage.spec.js","","","","should click on network tab and redirected to network page",""
"passed","Tue Sep 27 15:31:20 GMT 2022","Tue Sep 27 15:31:23 GMT 2022","3226","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow pricing",""
"passed","Tue Sep 27 15:30:24 GMT 2022","Tue Sep 27 15:30:36 GMT 2022","11560","chromium","FindPriceSmsApiUa.spec.js","","","","Check if the price for SMS API for Ukrain will change in Euro.",""
"passed","Tue Sep 27 15:31:15 GMT 2022","Tue Sep 27 15:31:20 GMT 2022","5131","chromium","VerifySearchInput.spec.js","","","","Should verify saving calculator with messaging API",""
"passed","Tue Sep 27 15:30:44 GMT 2022","Tue Sep 27 15:30:53 GMT 2022","8413","chromium","Login.spec.js","","","","should login with invalid password",""
"passed","Tue Sep 27 15:31:04 GMT 2022","Tue Sep 27 15:31:09 GMT 2022","4994","chromium","VerifyHomePageBtn.spec.js","","","","Should click about us button then home page button",""
"passed","Tue Sep 27 15:31:23 GMT 2022","Tue Sep 27 15:31:26 GMT 2022","3057","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow solutions",""
"passed","Tue Sep 27 15:31:35 GMT 2022","Tue Sep 27 15:31:38 GMT 2022","2992","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow products",""
"passed","Tue Sep 27 15:31:30 GMT 2022","Tue Sep 27 15:31:35 GMT 2022","5322","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow company",""
