"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Sep 27 13:29:45 GMT 2022","Tue Sep 27 13:29:45 GMT 2022","16","chromium","VerifyHomePageBtn.spec.js","","","","Should click about us button then home page button",""
"failed","Tue Sep 27 13:29:47 GMT 2022","Tue Sep 27 13:29:47 GMT 2022","17","chromium","VerifySavingCalculator.spec.js","","","","Should verify saving calculator with messaging API",""
"failed","Tue Sep 27 13:29:54 GMT 2022","Tue Sep 27 13:29:54 GMT 2022","15","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow resources",""
"failed","Tue Sep 27 13:29:48 GMT 2022","Tue Sep 27 13:29:49 GMT 2022","17","chromium","VerifySearchInput.spec.js","","","","Should verify saving calculator with messaging API",""
"failed","Tue Sep 27 13:29:42 GMT 2022","Tue Sep 27 13:29:42 GMT 2022","15","chromium","Login.spec.js","","","","should login with invalid password",""
"failed","Tue Sep 27 13:29:59 GMT 2022","Tue Sep 27 13:29:59 GMT 2022","14","chromium","VerifyTabsOnHomePage.spec.js","","","","should click on network tab and redirected to network page",""
"failed","Tue Sep 27 13:29:55 GMT 2022","Tue Sep 27 13:29:55 GMT 2022","16","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow company",""
"failed","Tue Sep 27 13:29:38 GMT 2022","Tue Sep 27 13:29:38 GMT 2022","16","chromium","FindPriceSmsApiUa.spec.js","","","","Check if the price for SMS API for Ukrain will change in Euro.",""
"failed","Tue Sep 27 13:29:40 GMT 2022","Tue Sep 27 13:29:40 GMT 2022","15","chromium","Login.spec.js","","","","should login with invalid email",""
"failed","Tue Sep 27 13:29:52 GMT 2022","Tue Sep 27 13:29:52 GMT 2022","17","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow solutions",""
"failed","Tue Sep 27 13:29:50 GMT 2022","Tue Sep 27 13:29:50 GMT 2022","16","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow pricing",""
"failed","Tue Sep 27 13:29:57 GMT 2022","Tue Sep 27 13:29:57 GMT 2022","18","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow products",""
"failed","Tue Sep 27 13:29:43 GMT 2022","Tue Sep 27 13:29:43 GMT 2022","15","chromium","VerifyClickabilityBtns.spec.js","","","","Should verify clickability buttons on contact center page",""
"failed","Tue Sep 27 13:29:36 GMT 2022","Tue Sep 27 13:29:36 GMT 2022","15","chromium","FindPriceSmsApiUa.spec.js","","","","Should to show price for SMS API for Ukraine in usd",""
