"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Sep 27 13:34:21 GMT 2022","Tue Sep 27 13:34:21 GMT 2022","14","chromium","FindPriceSmsApiUa.spec.js","","","","Check if the price for SMS API for Ukrain will change in Euro.",""
"failed","Tue Sep 27 13:34:24 GMT 2022","Tue Sep 27 13:34:24 GMT 2022","13","chromium","Login.spec.js","","","","should login with invalid password",""
"failed","Tue Sep 27 13:34:31 GMT 2022","Tue Sep 27 13:34:31 GMT 2022","14","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow pricing",""
"failed","Tue Sep 27 13:34:28 GMT 2022","Tue Sep 27 13:34:28 GMT 2022","14","chromium","VerifySavingCalculator.spec.js","","","","Should verify saving calculator with messaging API",""
"failed","Tue Sep 27 13:34:27 GMT 2022","Tue Sep 27 13:34:27 GMT 2022","14","chromium","VerifyHomePageBtn.spec.js","","","","Should click about us button then home page button",""
"failed","Tue Sep 27 13:34:22 GMT 2022","Tue Sep 27 13:34:22 GMT 2022","13","chromium","Login.spec.js","","","","should login with invalid email",""
"failed","Tue Sep 27 13:34:30 GMT 2022","Tue Sep 27 13:34:30 GMT 2022","14","chromium","VerifySearchInput.spec.js","","","","Should verify saving calculator with messaging API",""
"failed","Tue Sep 27 13:34:37 GMT 2022","Tue Sep 27 13:34:37 GMT 2022","14","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow products",""
"failed","Tue Sep 27 13:34:36 GMT 2022","Tue Sep 27 13:34:36 GMT 2022","14","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow company",""
"failed","Tue Sep 27 13:34:39 GMT 2022","Tue Sep 27 13:34:39 GMT 2022","14","chromium","VerifyTabsOnHomePage.spec.js","","","","should click on network tab and redirected to network page",""
"failed","Tue Sep 27 13:34:34 GMT 2022","Tue Sep 27 13:34:34 GMT 2022","14","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow resources",""
"failed","Tue Sep 27 13:34:19 GMT 2022","Tue Sep 27 13:34:20 GMT 2022","14","chromium","FindPriceSmsApiUa.spec.js","","","","Should to show price for SMS API for Ukraine in usd",""
"failed","Tue Sep 27 13:34:25 GMT 2022","Tue Sep 27 13:34:25 GMT 2022","14","chromium","VerifyClickabilityBtns.spec.js","","","","Should verify clickability buttons on contact center page",""
"failed","Tue Sep 27 13:34:33 GMT 2022","Tue Sep 27 13:34:33 GMT 2022","14","chromium","VerifyTabsOnHomePage.spec.js","","","","should open pop-upwindow solutions",""
